"name","genre","creative.type","production.method","revenue.inf"
"Sleepers","Drama","Dramatization","Live Action",100.872218
"Step Up Revolution","Drama","Contemporary Fiction","Live Action",36.881283
"The Princess Diaries","Comedy","Contemporary Fiction","Live Action",160.069897
"Cold Mountain","Drama","Historical Fiction","Live Action",130.655842
"In Time","Thriller/Suspense","Science Fiction","Live Action",39.635599
"Deep Blue Sea","Action","Contemporary Fiction","Live Action",121.345464
"Six Days, Seven Nights","Romantic Comedy","Contemporary Fiction","Live Action",132.585345
"Bringing Down the House","Comedy","Contemporary Fiction","Live Action",184.161377
"Johnny English Reborn","Comedy","Contemporary Fiction","Live Action",8.76683
"The Grand Budapest Hotel","Comedy","Historical Fiction","Live Action",60.522181
"Daddy Day Care","Comedy","Contemporary Fiction","Live Action",144.564723
"No Country for Old Men","Action","Historical Fiction","Live Action",88.671035
"3 Men and a Baby","Comedy","Contemporary Fiction","Live Action",342.762339
"Saw III","Horror","Contemporary Fiction","Live Action",102.534065
"Maid in Manhattan","Romantic Comedy","Contemporary Fiction","Live Action",133.829144
"Miami Vice","Action","Contemporary Fiction","Live Action",81.080985
"Pokemon: The First Movie","Adventure","Kids Fiction","Hand Animation",141.119447
"World Trade Center","Drama","Dramatization","Live Action",89.806769
"Unbroken","Drama","Dramatization","Live Action",117.783577
"Johnny English","Comedy","Contemporary Fiction","Live Action",38.884425
"The Island","Action","Science Fiction","Live Action",46.74537
"Midnight in Paris","Romantic Comedy","Fantasy","Live Action",59.967401
"Talladega Nights: The Ballad of Ricky Bobby","Comedy","Contemporary Fiction","Live Action",189.396327
"The Spiderwick Chronicles","Adventure","Fantasy","Live Action",82.994794
"The Happening","Thriller/Suspense","Science Fiction","Live Action",75.198122
"The Interpreter","Thriller/Suspense","Contemporary Fiction","Live Action",94.688546
"The Ring Two","Horror","Contemporary Fiction","Live Action",99.092798
"Insidious Chapter 2","Horror","Fantasy","Live Action",86.053937
"Scream 3","Horror","Contemporary Fiction","Live Action",138.420348
"Payback","Action","Contemporary Fiction","Live Action",134.311214
"Memoirs of a Geisha","Drama","Historical Fiction","Live Action",73.707007
"The Muppets","Comedy","Kids Fiction","Live Action",93.519115
"Jackass Presents: Bad Grandpa","Comedy","Factual","Live Action",105.012263
"Freaky Friday","Comedy","Contemporary Fiction","Live Action",152.993631
"Alien: Resurrection","Action","Science Fiction","Live Action",87.006619
"America's Sweethearts","Romantic Comedy","Contemporary Fiction","Live Action",138.426893
"Legends of the Fall","Drama","Historical Fiction","Live Action",127.985151
"Underworld: Awakening","Action","Fantasy","Live Action",65.53104
"27 Dresses","Romantic Comedy","Contemporary Fiction","Live Action",89.538778
"Hellboy II: The Golden Army","Action","Super Hero","Live Action",88.580363
"Never Say Never Again","Action","Contemporary Fiction","Live Action",146.952299
"Black Hawk Down","Action","Dramatization","Live Action",156.517577
"Stepmom","Drama","Contemporary Fiction","Live Action",156.838818
"The Sting","Comedy","Historical Fiction","Live Action",754.795853
"Flight","Drama","Contemporary Fiction","Live Action",98.574118
"Crimson Tide","Action","Contemporary Fiction","Live Action",175.830021
"The Jackal","Thriller/Suspense","Contemporary Fiction","Live Action",100.060914
"The Pink Panther","Comedy","Historical Fiction","Live Action",105.074134
"Daylight","Action","Contemporary Fiction","Live Action",61.719828
"Sin City","Action","Fantasy","Live Action",96.756237
"The Book of Eli","Action","Science Fiction","Live Action",100.604487
"Norbit","Comedy","Contemporary Fiction","Live Action",116.012393
"The Phantom of the Opera","Musical","Historical Fiction","Live Action",67.569587
"Demolition Man","Action","Science Fiction","Live Action",115.791894
"Dick Tracy","Action","Super Hero","Live Action",196.553137
"Happy Feet Two","Adventure","Kids Fiction","Digital Animation",67.545172
"Final Destination 5","Horror","Fantasy","Live Action",44.950633
"21","Thriller/Suspense","Contemporary Fiction","Live Action",94.610571
"The Fast and the Furious: Tokyo Drift","Action","Contemporary Fiction","Live Action",79.884828
"Unforgiven","Western","Historical Fiction","Live Action",200.13887
"Lara Croft: Tomb Raider: The Cradle of Life","Adventure","Contemporary Fiction","Live Action",91.131338
"This Means War","Romantic Comedy","Contemporary Fiction","Live Action",57.581382
"Mystic River","Drama","Contemporary Fiction","Live Action",123.671261
"War Horse","Drama","Contemporary Fiction","Live Action",84.15886
"Into the Storm","Thriller/Suspense","Contemporary Fiction","Live Action",48.767479
"Rocky Balboa","Drama","Contemporary Fiction","Live Action",88.623201
"Alien 3","Action","Science Fiction","Live Action",105.604508
"Monster-in-Law","Comedy","Contemporary Fiction","Live Action",108.289386
"P.S. I Love You","Romantic Comedy","Contemporary Fiction","Live Action",64.013534
"The Haunted Mansion","Comedy","Kids Fiction","Live Action",105.022834
"Limitless","Thriller/Suspense","Science Fiction","Live Action",83.64665
"Under Siege","Action","Contemporary Fiction","Live Action",166.030576
"Scary Movie 3","Comedy","Contemporary Fiction","Live Action",152.66911
"The Monuments Men","Drama","Historical Fiction","Live Action",79.941811
"Dreamgirls","Musical","Historical Fiction","Live Action",128.28627
"License to Kill","Action","Contemporary Fiction","Live Action",69.63989
"Focus","Romantic Comedy","Contemporary Fiction","Live Action",53.862963
"Blade 2","Action","Super Hero","Live Action",117.619609
"Beverly Hills Chihuahua","Comedy","Fantasy","Live Action",110.142471
"ao men feng yun 2","Comedy","Contemporary Fiction","Live Action",0
"Days of Thunder","Action","Contemporary Fiction","Live Action",156.235901
"Ride Along","Comedy","Contemporary Fiction","Live Action",137.487813
"Free Willy","Adventure","Contemporary Fiction","Live Action",135.757759
"Kill Bill: Volume 2","Action","Contemporary Fiction","Live Action",89.236763
"Tower Heist","Comedy","Contemporary Fiction","Live Action",82.37179
"Sweeney Todd: The Demon Barber of Fleet Street","Musical","Historical Fiction","Live Action",63.221247
"101 Dalmatians","Comedy","Contemporary Fiction","Hand Animation",1855.956518
"Devil's Advocate","Drama","Contemporary Fiction","Live Action",111.131704
"Saw II","Horror","Contemporary Fiction","Live Action",113.634953
"The Town","Drama","Contemporary Fiction","Live Action",97.794469
"Chocolat","Drama","Historical Fiction","Live Action",105.76753
"Backdraft","Drama","Contemporary Fiction","Live Action",128.323969
"The Taking of Pelham 123","Action","Contemporary Fiction","Live Action",73.044781
"Antz","Adventure","Kids Fiction","Digital Animation",161.575987
"Date Night","Comedy","Contemporary Fiction","Live Action",104.71666
"A Time to Kill","Drama","Contemporary Fiction","Live Action",205.853077
"Phenomenon","Drama","Contemporary Fiction","Live Action",198.1273
"Congo","Adventure","Contemporary Fiction","Live Action",155.853133
"A View to a Kill","Action","Contemporary Fiction","Live Action",117.10241
"Evita","Musical","Dramatization","Live Action",91.190447
"47 Ronin","Action","Fantasy","Live Action",39.466333
"The Bone Collector","Thriller/Suspense","Contemporary Fiction","Live Action",109.292447
"Vantage Point","Thriller/Suspense","Contemporary Fiction","Live Action",84.24359
"Olympus Has Fallen","Thriller/Suspense","Contemporary Fiction","Live Action",101.84796
"Jack and Jill","Comedy","Contemporary Fiction","Live Action",78.263066
"Speed II: Cruise Control","Action","Contemporary Fiction","Live Action",87.65413
"Mononoke-hime","Adventure","Fantasy","Hand Animation",3.786588
"Cool Runnings","Comedy","Contemporary Fiction","Live Action",129.422975
"Big","Comedy","Fantasy","Live Action",230.939825
"Star Trek: First Contact","Adventure","Science Fiction","Live Action",173.677483
"Lone Survivor","Action","Dramatization","Live Action",128.159557
"Arthur Christmas","Adventure","Kids Fiction","Digital Animation",49.037897
"The General's Daughter","Drama","Contemporary Fiction","Live Action",169.176298
"Me, Myself & Irene","Romantic Comedy","Contemporary Fiction","Live Action",140.640415
"No Strings Attached","Romantic Comedy","Contemporary Fiction","Live Action",74.582944
"Ghost Rider: Spirit of Vengeance","Action","Contemporary Fiction","Live Action",54.440748
"Death Becomes Her","Comedy","Fantasy","Live Action",106.23096
"Xi you ji zhi da sheng gui lai","Adventure","Kids Fiction","Digital Animation",0
"Seabiscuit","Drama","Historical Fiction","Live Action",166.841286
"Step Up 2 the Streets","Drama","Contemporary Fiction","Live Action",67.633542
"Broken Arrow","Action","Contemporary Fiction","Live Action",133.77037
"The Secret World of Arietty","Adventure","Fantasy","Hand Animation",20.181066
"Gremlins","Comedy","Fantasy","Live Action",368.970734
"Mama","Horror","Fantasy","Live Action",73.742663
"Garfield's A Tail of Two Kitties","Comedy","Kids Fiction","Animation/Live Action",36.325474
"Romeo+Juliet","Drama","Contemporary Fiction","Live Action",87.573377
"Crazy, Stupid, Love","Comedy","Contemporary Fiction","Live Action",89.031464
"Swordfish","Action","Contemporary Fiction","Live Action",103.180171
"Stand By Me Doraemon","Drama","Kids Fiction","Digital Animation",0
"Friends with Benefits","Romantic Comedy","Contemporary Fiction","Live Action",58.898995
"The Game Plan","Comedy","Contemporary Fiction","Live Action",110.198114
"Gun dan ba! Zhong liu jun","Comedy","Contemporary Fiction","Live Action",0.286639
"Music and Lyrics","Romantic Comedy","Contemporary Fiction","Live Action",61.525083
"I am Number Four","Adventure","Science Fiction","Live Action",58.157706
"Resident Evil: Extinction","Action","Science Fiction","Live Action",61.617655
"Surf's Up","Adventure","Kids Fiction","Digital Animation",71.616658
"Blades of Glory","Comedy","Contemporary Fiction","Live Action",143.85432
"The Mexican","Action","Contemporary Fiction","Live Action",98.796484
"The Exorcism of Emily Rose","Thriller/Suspense","Dramatization","Live Action",98.027523
"Herbie: Fully Loaded","Comedy","Kids Fiction","Live Action",86.194913
"New Year's Eve","Romantic Comedy","Contemporary Fiction","Live Action",57.537071
"Charlotte's Web","Drama","Fantasy","Live Action",103.908528
"Spy Game","Action","Contemporary Fiction","Live Action",92.168791
"Conspiracy Theory","Thriller/Suspense","Contemporary Fiction","Live Action",138.736851
"The Wolfman","Horror","Fantasy","Live Action",65.750301
"SpongeBob SquarePants: The Movie","Adventure","Kids Fiction","Hand Animation",114.978849
"Dear John","Drama","Contemporary Fiction","Live Action",84.882664
"The Jungle Book","Musical","Kids Fiction","Hand Animation",989.354925
"Legally Blonde","Comedy","Contemporary Fiction","Live Action",142.694338
"National Lampoon's Animal House","Comedy","Contemporary Fiction","Live Action",506.492312
"Monster House","Adventure","Kids Fiction","Digital Animation",94.128652
"The Legend of Zorro","Adventure","Historical Fiction","Live Action",59.225107
"The Taking of Tiger Mountain","Adventure","Contemporary Fiction","Live Action",0.22419
"Bad Boys","Action","Contemporary Fiction","Live Action",126.296261
"Dumb and Dumber To","Comedy","Contemporary Fiction","Live Action",88.298394
"Mona Lisa Smile","Drama","Historical Fiction","Live Action",88.007436
"Scary Movie 2","Comedy","Contemporary Fiction","Live Action",105.40495
"The Rugrats Movie","Adventure","Kids Fiction","Hand Animation",177.79292
"The Devil's Own","Thriller/Suspense","Contemporary Fiction","Live Action",78.187769
"Source Code","Thriller/Suspense","Science Fiction","Live Action",57.747961
"The Jungle Book 2","Adventure","Historical Fiction","Hand Animation",66.459926
"Paranormal Activity 4","Horror","Fantasy","Live Action",56.676601
"Sommersby","Drama","Historical Fiction","Live Action",80.488464
"American Graffiti","Drama","Contemporary Fiction","Live Action",543.813556
"The Rocky Horror Picture Show","Musical","Fantasy","Live Action",139.876417
"The Three Musketeers","Adventure","Historical Fiction","Live Action",21.504966
"Annie","Musical","Contemporary Fiction","Live Action",87.685074
"Legend of the Guardians: The Owls of Ga'Hoole","Adventure","Kids Fiction","Digital Animation",59.061725
"Towering Inferno","Action","Contemporary Fiction","Live Action",116
"Anastasia","Musical","Dramatization","Hand Animation",106.103468
"17 Again","Comedy","Fantasy","Live Action",71.610447
"Star Trek: The Motion Picture","Adventure","Science Fiction","Live Action",132.249256
"Trainwreck","Comedy","Contemporary Fiction","Live Action",110.03813
"Bird on a Wire","Action","Contemporary Fiction","Live Action",117.897719
"Nine Months","Comedy","Contemporary Fiction","Live Action",133.902657
"Die Hard","Action","Contemporary Fiction","Live Action",164.619536
"Bridge to Terabithia","Drama","Fantasy","Live Action",100.043563
"Contagion","Thriller/Suspense","Science Fiction","Live Action",79.856019
"Wall Street 2: Money Never Sleeps","Drama","Contemporary Fiction","Live Action",55.666987
"Last Action Hero","Action","Fantasy","Live Action",80.985458
"RED 2","Action","Contemporary Fiction","Live Action",54.834883
"Big Momma's House 2","Comedy","Contemporary Fiction","Live Action",89.659507
"Anaconda","Horror","Contemporary Fiction","Live Action",119.546919
"Lets Be Cops","Comedy","Contemporary Fiction","Live Action",84.407683
"Stardust","Adventure","Fantasy","Live Action",46.683717
"Remember the Titans","Drama","Contemporary Fiction","Live Action",179.446941
"Love Story","Drama","Contemporary Fiction","Live Action",574.544806
"Unknown","Thriller/Suspense","Contemporary Fiction","Live Action",67.220064
"Lost In Space","Adventure","Science Fiction","Live Action",123.324384
"The Bounty Hunter","Romantic Comedy","Contemporary Fiction","Live Action",71.140991
"Saw IV","Horror","Contemporary Fiction","Live Action",77.00898
"The Intern","Comedy","Contemporary Fiction","Live Action",58.773279
"Cheaper by the Dozen 2","Comedy","Contemporary Fiction","Live Action",107.038732
"Sense and Sensibility","Drama","Historical Fiction","Live Action",81.514451
"The Best Exotic Marigold Hotel","Comedy","Contemporary Fiction","Live Action",48.772743
"Zero Dark Thirty","Drama","Dramatization","Live Action",98.643287
"Pokemon 2000","Adventure","Kids Fiction","Hand Animation",67.933531
"The Cat in the Hat","Comedy","Fantasy","Live Action",140.153633
"Saw 3D","Horror","Contemporary Fiction","Live Action",48.491017
"Perfume: The Story of a Murderer","Drama","Historical Fiction","Live Action",2.708306
"Myeong-ryang","Action","Dramatization","Live Action",2.900289
"Hot Shots! Part Deux","Comedy","Contemporary Fiction","Live Action",69.490469
"La marche de l'empereur","Documentary","Factual","Live Action",101.08377
"Astrix aux Jeux Olympiques","Adventure","Fantasy","Live Action",1.165514
"Platoon","Drama","Historical Fiction","Live Action",311.254194
"2 Guns","Action","Contemporary Fiction","Live Action",77.844557
"Blade: Trinity","Action","Super Hero","Live Action",70.440999
"A League of Their Own","Comedy","Historical Fiction","Live Action",216.620731
"Babel","Drama","Contemporary Fiction","Live Action",42.946939
"School of Rock","Comedy","Contemporary Fiction","Live Action",112.749474
"Munich","Drama","Dramatization","Live Action",60.989093
"Seven Years in Tibet","Drama","Dramatization","Live Action",69.101079
"Jack Ryan: Shadow Recruit","Action","Contemporary Fiction","Live Action",51.815531
"1408","Horror","Contemporary Fiction","Live Action",87.563349
"Law Abiding Citizen","Thriller/Suspense","Contemporary Fiction","Live Action",81.843559
"Blade","Action","Super Hero","Live Action",124.927272
"Man on Fire","Thriller/Suspense","Contemporary Fiction","Live Action",105.004839
"Mean Girls","Comedy","Contemporary Fiction","Live Action",115.976695
"Brno","Comedy","Contemporary Fiction","Live Action",67.020858
"About a Boy","Romantic Comedy","Contemporary Fiction","Live Action",58.781606
"Cloud Atlas","Drama","Multiple Creative Types","Live Action",28.500034
"Walking with Dinosaurs","Adventure","Kids Fiction","Animation/Live Action",37.117242
"Star Trek IV: The Voyage Home","Adventure","Science Fiction","Live Action",238.662975
"You, Me and Dupree","Comedy","Contemporary Fiction","Live Action",96.64233
"V for Vendetta","Action","Science Fiction","Live Action",90.08523
"Bewitched","Comedy","Fantasy","Live Action",81.287473
"Jingle All the Way","Comedy","Kids Fiction","Live Action",114.188026
"Atonement","Drama","Contemporary Fiction","Live Action",60.090381
"The Fighter","Drama","Dramatization","Live Action",99.05962
"The Forbidden Kingdom","Action","Fantasy","Live Action",60.706129
"The Woman in Black","Thriller/Suspense","Fantasy","Live Action",57.131862
"The Queen","Drama","Dramatization","Live Action",70.393525
"Aliens vs. Predator - Requiem","Action","Science Fiction","Live Action",50.274053
"Space Cowboys","Adventure","Science Fiction","Live Action",140.443578
"The Talented Mr. Ripley","Drama","Historical Fiction","Live Action",130.005426
"Nanny McPhee","Comedy","Fantasy","Live Action",60.218509
"Step Brothers","Comedy","Contemporary Fiction","Live Action",117.120305
"Failure to Launch","Romantic Comedy","Contemporary Fiction","Live Action",113.292964
"The Artist","Drama","Historical Fiction","Live Action",46.987841
"Blended","Romantic Comedy","Contemporary Fiction","Live Action",47.423926
"Everest","Documentary","Factual","Live Action",133.43824
"Forever Young","Drama","Science Fiction","Live Action",101.481211
"The Heartbreak Kid","Romantic Comedy","Contemporary Fiction","Live Action",44.754264
"Gandhi","Drama","Dramatization","Live Action",140.463139
"U-571","Action","Historical Fiction","Live Action",119.70502
"An Officer and a Gentleman","Drama","Contemporary Fiction","Live Action",359.05405
"Predators","Action","Science Fiction","Live Action",55.164226
"First Knight","Drama","Historical Fiction","Live Action",71.245699
"The Adjustment Bureau","Thriller/Suspense","Science Fiction","Live Action",65.963242
"Smokey and the Bandit","Comedy","Contemporary Fiction","Live Action",126.737428
"Julie & Julia","Comedy","Contemporary Fiction","Live Action",105.043977
"Pride & Prejudice","Drama","Historical Fiction","Live Action",49.987214
"This is the End","Comedy","Science Fiction","Live Action",104.465627
"American Wedding","Comedy","Contemporary Fiction","Live Action",144.849864
"Boomerang","Comedy","Contemporary Fiction","Live Action",131.77641
"Sex Tape","Comedy","Contemporary Fiction","Live Action",39.487007
"Staying Alive","Musical","Contemporary Fiction","Live Action",169.63592
"Coraline","Adventure","Kids Fiction","Stop-Motion Animation",84.019433
"The Dream is Alive","Documentary","Factual","Live Action",296.840284
"Wolf","Thriller/Suspense","Fantasy","Live Action",122.03378
"I Know What You Did Last Summer","Horror","Contemporary Fiction","Live Action",131.623305
"First Blood","Action","Contemporary Fiction","Live Action",133.648268
"Resident Evil: Apocalypse","Horror","Science Fiction","Live Action",68.388801
"Fack ju Gohte 2","Comedy","Contemporary Fiction","Live Action",0
"Legally Blonde 2: Red, White & Blonde","Comedy","Contemporary Fiction","Live Action",125.159715
"Ray","Drama","Dramatization","Live Action",101.343993
"The Family Man","Comedy","Contemporary Fiction","Live Action",115.235833
"Invictus","Drama","Dramatization","Live Action",41.459464
"The Thomas Crown Affair","Drama","Contemporary Fiction","Live Action",114.186252
"The Pirates! Band of Misfits","Adventure","Kids Fiction","Stop-Motion Animation",32.650491
"Big Fish","Drama","Fantasy","Live Action",89.880098
"Hide and Seek","Thriller/Suspense","Contemporary Fiction","Live Action",66.721907
"Chronicle","Thriller/Suspense","Science Fiction","Live Action",67.901282
"The Wedding Singer","Romantic Comedy","Historical Fiction","Live Action",143.172516
"Space Station","Documentary","Factual","Live Action",118.47129
"The Nut Job","Adventure","Kids Fiction","Digital Animation",65.8244
"Save the Last Dance","Drama","Contemporary Fiction","Live Action",134.627273
"The Theory of Everything","Drama","Dramatization","Live Action",36.499955
"Mortal Kombat","Action","Fantasy","Live Action",135.50383
"The Princess Diaries 2: Royal Engagement","Romantic Comedy","Contemporary Fiction","Live Action",128.244889
"Executive Decision","Thriller/Suspense","Contemporary Fiction","Live Action",106.939648
"Poltergeist","Horror","Fantasy","Live Action",212.683466
"Sahara","Adventure","Contemporary Fiction","Live Action",89.631409
"Good Morning Vietnam","Comedy","Historical Fiction","Live Action",265.276277
"Parenthood","Comedy","Contemporary Fiction","Live Action",200.061196
"Intolerable Cruelty","Romantic Comedy","Contemporary Fiction","Live Action",49.035595
"Apocalypto","Adventure","Historical Fiction","Live Action",64.497211
"Starship Troopers","Action","Science Fiction","Animation/Live Action",99.729747
"Insidious Chapter 3","Horror","Fantasy","Live Action",52.218558
"Eight Below","Adventure","Contemporary Fiction","Live Action",104.265316
"Parental Guidance","Comedy","Contemporary Fiction","Live Action",80.699045
"Volcano","Action","Contemporary Fiction","Live Action",86.570441
"Rocky V","Action","Contemporary Fiction","Live Action",68.73331
"Jeepers Creepers II","Horror","Fantasy","Live Action",49.44796
"Star Trek: Generations","Adventure","Science Fiction","Live Action",154.370756
"Michael","Comedy","Contemporary Fiction","Live Action",175.802333
"Road Trip","Comedy","Contemporary Fiction","Live Action",106.411752
"Spy Kids 2: The Island of Lost Dreams","Adventure","Kids Fiction","Live Action",123.648612
"Surrogates","Action","Science Fiction","Live Action",43.052794
"Red Cliff","Action","Dramatization","Live Action",0.69425
"Charlie Wilson's War","Drama","Dramatization","Live Action",79.829235
"Blazing Saddles","Comedy","Historical Fiction","Live Action",534.874329
"Rocky III","Action","Contemporary Fiction","Live Action",339.784193
"The Omen","Horror","Contemporary Fiction","Live Action",69.780732
"Beverly Hills Cop III","Action","Contemporary Fiction","Live Action",77.035496
"Unfaithful","Drama","Contemporary Fiction","Live Action",75.996252
"We Bought a Zoo","Drama","Dramatization","Live Action",79.681781
"On Golden Pond","Drama","Contemporary Fiction","Live Action",338.096575
"Barnyard: The Original Party Animals","Comedy","Kids Fiction","Digital Animation",93.001564
"Hua Pi 2","Action","Fantasy","Live Action",0.03492
"Hotel for Dogs","Comedy","Kids Fiction","Live Action",81.667262
"Saw V","Horror","Contemporary Fiction","Live Action",66.151876
"Shall We Dance?","Romantic Comedy","Contemporary Fiction","Live Action",77.99176
"Kaze Tachinu","Drama","Historical Fiction","Digital Animation",5.329212
"Disturbia","Thriller/Suspense","Contemporary Fiction","Live Action",97.455392
"Magic Mike XXL","Comedy","Contemporary Fiction","Live Action",66.013057
"Star Trek: Insurrection","Adventure","Science Fiction","Live Action",123.662054
"A Nightmare on Elm Street","Horror","Fantasy","Live Action",66.912266
"The Client","Drama","Contemporary Fiction","Live Action",188.966418
"Blue Streak","Action","Contemporary Fiction","Live Action",112.339997
"Dennis the Menace","Comedy","Contemporary Fiction","Live Action",83.924726
"The Forgotten","Thriller/Suspense","Contemporary Fiction","Live Action",89.916031
"Lost in Translation","Drama","Contemporary Fiction","Live Action",61.338064
"Snow Dogs","Comedy","Kids Fiction","Live Action",116.90728
"Tian jiang xiong shi","Action","Historical Fiction","Live Action",0.07407
"Water for Elephants","Drama","Historical Fiction","Live Action",61.967253
"The Siege","Action","Contemporary Fiction","Live Action",72.944583
"The Notebook","Drama","Contemporary Fiction","Live Action",109.176321
"Pitch Perfect","Comedy","Contemporary Fiction","Live Action",68.341544
"City Slickers","Comedy","Contemporary Fiction","Live Action",230.650935
"Si Ren Ding Zhi","Comedy","Contemporary Fiction","Live Action",0.379998
"Hope Springs","Romantic Comedy","Contemporary Fiction","Live Action",66.808587
"Coyote Ugly","Drama","Contemporary Fiction","Live Action",94.39352
"The Iron Lady","Drama","Dramatization","Live Action",31.503441
"Sliver","Thriller/Suspense","Contemporary Fiction","Live Action",71.821957
"Closer","Drama","Contemporary Fiction","Live Action",45.535102
"Bride Wars","Comedy","Contemporary Fiction","Live Action",65.526512
"Warm Bodies","Romantic Comedy","Fantasy","Live Action",68.340238
"Romancing the Stone","Adventure","Contemporary Fiction","Live Action",187.025306
"Finding Neverland","Drama","Historical Fiction","Live Action",68.515615
"Cats & Dogs: The Revenge of Kitty Galore","Comedy","Kids Fiction","Live Action",48.30974
"Saving Mr. Banks","Drama","Dramatization","Live Action",85.63609
"Lethal Weapon","Action","Contemporary Fiction","Live Action",128.294933
"The Lake House","Drama","Fantasy","Live Action",66.870692
"The Corpse Bride","Adventure","Fantasy","Stop-Motion Animation",69.64677
"Get Shorty","Comedy","Contemporary Fiction","Live Action",137.972017
"We Were Soldiers","Drama","Dramatization","Live Action",112.541488
"Freddy vs. Jason","Horror","Contemporary Fiction","Live Action",114.502085
"Changeling","Thriller/Suspense","Contemporary Fiction","Live Action",41.661633
"Insomnia","Thriller/Suspense","Contemporary Fiction","Live Action",96.900662
"The Score","Thriller/Suspense","Contemporary Fiction","Live Action",105.098047
"Judge Dredd","Action","Science Fiction","Live Action",66.74433
"Underworld: Evolution","Action","Fantasy","Live Action",79.634959
"Prisoners","Thriller/Suspense","Contemporary Fiction","Live Action",62.803106
"Arthur et les Minimoys","Adventure","Fantasy","Animation/Live Action",19.337588
"Species","Action","Science Fiction","Live Action",115.449051
"The Reader","Drama","Contemporary Fiction","Live Action",38.337705
"Striptease","Comedy","Contemporary Fiction","Live Action",62.033477
"Last Vegas","Comedy","Contemporary Fiction","Live Action",65.79688
"Final Destination 3","Horror","Fantasy","Live Action",69.129872
"The Tooth Fairy","Comedy","Fantasy","Live Action",63.673796
"Where Are We Going Dad?","Reality","Factual","Live Action",0
"Rambo","Action","Contemporary Fiction","Live Action",49.840094
"Final Destination","Horror","Fantasy","Live Action",82.771867
"The Pianist","Drama","Dramatization","Live Action",45.14629
"Doctor Zhivago","Drama","Historical Fiction","Live Action",925.846303
"The Purge: Anarchy","Thriller/Suspense","Science Fiction","Live Action",73.314387
"White Chicks","Comedy","Contemporary Fiction","Live Action",93.20082
"Moneyball","Drama","Dramatization","Live Action",79.797931
"Step Up","Drama","Contemporary Fiction","Live Action",83.480363
"The Karate Kid, Part II","Action","Contemporary Fiction","Live Action",249.797109
"Seventh Son","Adventure","Fantasy","Live Action",17.223265
"L.A. Confidential","Drama","Historical Fiction","Live Action",116.786166
"The Net","Thriller/Suspense","Science Fiction","Live Action",97.400091
"Lang Tu Teng","Adventure","Historical Fiction","Live Action",0
"Free Birds","Comedy","Kids Fiction","Digital Animation",57.391935
"Casino","Drama","Historical Fiction","Live Action",81.411173
"Peter Pan: Return to Neverland","Adventure","Kids Fiction","Hand Animation",69.759656
"The Dukes of Hazzard","Comedy","Contemporary Fiction","Live Action",104.814631
"Sideways","Drama","Contemporary Fiction","Live Action",94.307912
"Hoodwinked","Comedy","Fantasy","Digital Animation",67.09921
"Abraham Lincoln: Vampire Hunter","Horror","Fantasy","Live Action",39.451652
"Mn som hatar kvinnor","Thriller/Suspense","Contemporary Fiction","Live Action",13.646264
"Fool's Gold","Adventure","Contemporary Fiction","Live Action",81.871004
"The Boxtrolls","Adventure","Kids Fiction","Stop-Motion Animation",52.076433
"Billy Elliot","Drama","Contemporary Fiction","Live Action",33.791975
"Earth","Documentary","Factual","Live Action",35.724918
"Planet 51","Adventure","Science Fiction","Digital Animation",46.943848
"One Flew Over the Cuckoo's Nest","Drama","Contemporary Fiction","Live Action",108.981275
"The Amityville Horror","Horror","Historical Fiction","Live Action",84.689778
"Pompeii","Drama","Historical Fiction","Live Action",23.736198
"Body of Lies","Thriller/Suspense","Contemporary Fiction","Live Action",45.919921
"Junior","Comedy","Contemporary Fiction","Live Action",74.576466
"Confessions of a Shopaholic","Romantic Comedy","Contemporary Fiction","Live Action",49.413525
"The American President","Romantic Comedy","Contemporary Fiction","Live Action",115.19369
"The Texas Chainsaw Massacre","Horror","Historical Fiction","Live Action",111.582052
"Three Kings","Action","Historical Fiction","Live Action",99.797176
"Paul Blart: Mall Cop 2","Comedy","Contemporary Fiction","Live Action",71.03819
"ParaNorman","Comedy","Kids Fiction","Stop-Motion Animation",58.887629
"The Santa Clause 3: The Escape Clause","Comedy","Kids Fiction","Live Action",107.921257
"Hidalgo","Western","Historical Fiction","Live Action",90.690808
"Transporter 3","Action","Contemporary Fiction","Live Action",36.971462
"The Chronicles of Riddick","Adventure","Science Fiction","Live Action",77.786754
"Shaft","Action","Contemporary Fiction","Live Action",109.210438
"About Schmidt","Drama","Contemporary Fiction","Live Action",90.366353
"The Breakup Guru","Action","Contemporary Fiction","Live Action",0.214071
"Ace Ventura: Pet Detective","Comedy","Contemporary Fiction","Live Action",146.889683
"Made of Honor","Romantic Comedy","Contemporary Fiction","Live Action",53.638802
"Spirit: Stallion of the Cimarron","Adventure","Kids Fiction","Hand Animation",105.475409
"Get Hard","Comedy","Contemporary Fiction","Live Action",90.411453
"Jiu ceng yao ta","Action","Fantasy","Live Action",0
"Mr. Holland's Opus","Drama","Contemporary Fiction","Live Action",156.16202
"Mission to Mars","Adventure","Science Fiction","Live Action",94.530713
"Horrible Bosses 2","Comedy","Contemporary Fiction","Live Action",55.744334
"Life as We Know It","Romantic Comedy","Contemporary Fiction","Live Action",56.619191
"The Brothers Grimm","Adventure","Fantasy","Live Action",49.488295
"Hereafter","Thriller/Suspense","Contemporary Fiction","Live Action",34.738957
"Terms of Endearment","Drama","Contemporary Fiction","Live Action",268.759654
